X1_cat;X2_cat;X3_cat;X4_cat;X6_cat;X5;X7;Y
bin_0;bin_1;bin_18;bin_1;bin_1;AUCHAN;No_Feat;No_Displ
bin_0;bin_1;bin_13;bin_2;bin_5;CORA;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_2;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_1;bin_2;bin_17;bin_5;bin_5;LECLERC;No_Feat;No_Displ
bin_3;bin_4;bin_16;bin_1;bin_8;AUCHAN;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_2;bin_1;CASINO;No_Feat;No_Displ
bin_0;bin_1;bin_13;bin_14;bin_5;CORA;No_Feat;No_Displ
bin_3;bin_2;bin_18;bin_3;bin_6;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_9;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_9;bin_1;LECLERC;No_Feat;No_Displ
bin_4;bin_6;bin_13;bin_6;bin_9;LECLERC;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_2;bin_5;FRANPRIX;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_4;bin_2;INTERMARCHE;No_Feat;No_Displ
bin_0;bin_0;bin_18;bin_1;bin_1;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_2;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_9;bin_5;LECLERC;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_2;bin_1;SIMPLY MARKET;No_Feat;No_Displ
bin_3;bin_3;bin_18;bin_9;bin_9;LECLERC;No_Feat;No_Displ
bin_0;bin_0;bin_18;bin_1;bin_1;AUCHAN;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_10;bin_5;SIMPLY MARKET;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_6;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_0;bin_1;bin_9;bin_9;bin_5;LECLERC;No_Feat;No_Displ
bin_1;bin_1;bin_13;bin_1;bin_5;CASINO;No_Feat;No_Displ
bin_3;bin_4;bin_13;bin_6;bin_8;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_17;bin_6;bin_1;LECLERC;No_Feat;No_Displ
bin_0;bin_1;bin_1;bin_9;bin_1;CASINO;No_Feat;No_Displ
bin_0;bin_2;bin_18;bin_9;bin_6;CARREFOUR;No_Feat;No_Displ
bin_3;bin_3;bin_7;bin_15;bin_9;LECLERC;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_14;bin_5;MATCH;No_Feat;No_Displ
bin_5;bin_5;bin_13;bin_4;bin_11;LECLERC;Feat;No_Displ
bin_0;bin_1;bin_11;bin_15;bin_3;LECLERC;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_6;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_1;bin_2;bin_16;bin_9;bin_6;AUCHAN;No_Feat;No_Displ
bin_0;bin_0;bin_18;bin_9;bin_1;CARREFOUR;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_1;bin_1;CARREFOUR MARKET;No_Feat;No_Displ
bin_0;bin_1;bin_16;bin_2;bin_1;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_5;bin_5;INTERMARCHE;No_Feat;No_Displ
bin_4;bin_4;bin_0;bin_3;bin_8;MATCH;Feat;No_Displ
bin_3;bin_3;bin_0;bin_9;bin_8;CARREFOUR MARKET;Feat;No_Displ
bin_1;bin_3;bin_13;bin_15;bin_8;AUCHAN;No_Feat;No_Displ
bin_0;bin_1;bin_18;bin_4;bin_2;CORA;No_Feat;No_Displ
bin_0;bin_1;bin_4;bin_1;bin_1;LECLERC;No_Feat;No_Displ
bin_3;bin_3;bin_14;bin_15;bin_9;LECLERC;No_Feat;No_Displ
bin_3;bin_4;bin_0;bin_2;bin_8;MONOPRIX;No_Feat;No_Displ
bin_1;bin_2;bin_18;bin_1;bin_5;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_15;bin_5;bin_3;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_13;bin_9;bin_4;LECLERC;No_Feat;No_Displ
bin_2;bin_4;bin_18;bin_5;bin_6;AUCHAN;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_4;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_9;bin_5;SIMPLY MARKET;No_Feat;No_Displ
bin_0;bin_1;bin_18;bin_1;bin_5;AUCHAN;No_Feat;No_Displ
bin_1;bin_1;bin_13;bin_4;bin_6;CASINO;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_1;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_0;bin_1;bin_13;bin_9;bin_4;CARREFOUR;No_Feat;No_Displ
bin_0;bin_2;bin_0;bin_2;bin_5;SHOPI;No_Feat;No_Displ
bin_0;bin_1;bin_13;bin_2;bin_1;CORA;No_Feat;No_Displ
bin_0;bin_1;bin_18;bin_15;bin_3;AUCHAN;No_Feat;No_Displ
bin_4;bin_5;bin_5;bin_14;bin_10;MONOPRIX;No_Feat;No_Displ
bin_0;bin_1;bin_0;bin_9;bin_4;SIMPLY MARKET;No_Feat;No_Displ
bin_0;bin_2;bin_16;bin_1;bin_5;AUCHAN;No_Feat;No_Displ
bin_1;bin_2;bin_18;bin_14;bin_6;CARREFOUR;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_6;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_1;bin_1;SIMPLY MARKET;No_Feat;No_Displ
bin_1;bin_1;bin_17;bin_3;bin_6;LECLERC;No_Feat;No_Displ
bin_1;bin_1;bin_9;bin_12;bin_6;AUCHAN;No_Feat;No_Displ
bin_1;bin_1;bin_0;bin_6;bin_6;SUPER U;No_Feat;No_Displ
bin_0;bin_1;bin_7;bin_6;bin_5;LECLERC;No_Feat;No_Displ
bin_0;bin_0;bin_13;bin_9;bin_5;CORA;No_Feat;No_Displ
bin_0;bin_0;bin_4;bin_5;bin_1;LECLERC;No_Feat;No_Displ
bin_0;bin_1;bin_18;bin_9;bin_5;AUCHAN;No_Feat;No_Displ
bin_0;bin_2;bin_13;bin_9;bin_6;CORA;No_Feat;No_Displ
bin_0;bin_0;bin_9;bin_1;bin_1;LECLERC;No_Feat;No_Displ
bin_0;bin_0;bin_0;bin_1;bin_1;INTERMARCHE;No_Feat;No_Displ
bin_3;bin_2;bin_5;bin_2;bin_8;LECLERC;No_Feat;No_Displ
bin_2;bin_2;bin_11;bin_6;bin_6;LECLERC;No_Feat;No_Displ
bin_2;bin_2;bin_18;bin_3;bin_6;AUCHAN;No_Feat;No_Displ
bin_0;bin_1;bin_4;bin_1;bin_5;LECLERC;No_Feat;No_Displ
bin_2;bin_2;bin_4;bin_6;bin_6;CARREFOUR MARKET;No_Feat;No_Displ
bin_4;bin_4;bin_0;bin_13;bin_10;SUPER U;No_Feat;No_Displ
bin_1;bin_1;bin_18;bin_1;bin_5;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_16;bin_9;bin_5;CARREFOUR;No_Feat;No_Displ
bin_0;bin_1;bin_13;bin_6;bin_5;CARREFOUR;No_Feat;No_Displ
bin_0;bin_2;bin_11;bin_11;bin_5;LECLERC;No_Feat;No_Displ
bin_0;bin_0;bin_9;bin_9;bin_1;LECLERC;No_Feat;No_Displ
bin_0;bin_1;bin_18;bin_14;bin_6;AUCHAN;No_Feat;No_Displ
bin_3;bin_4;bin_18;bin_7;bin_8;AUCHAN;No_Feat;No_Displ
bin_5;bin_5;bin_18;bin_3;bin_10;AUCHAN;No_Feat;No_Displ
bin_2;bin_4;bin_14;bin_12;bin_8;CARREFOUR;No_Feat;No_Displ
bin_1;bin_1;bin_10;bin_0;bin_0;CASINO;No_Feat;No_Displ
bin_2;bin_2;bin_10;bin_12;bin_8;CASINO;No_Feat;No_Displ
bin_2;bin_3;bin_9;bin_9;bin_8;LECLERC;No_Feat;No_Displ
bin_1;bin_2;bin_1;bin_14;bin_6;CASINO;No_Feat;No_Displ
bin_1;bin_3;bin_11;bin_14;bin_8;CARREFOUR;No_Feat;No_Displ
bin_5;bin_7;bin_18;bin_17;bin_12;AUCHAN;No_Feat;No_Displ
bin_2;bin_3;bin_18;bin_9;bin_8;LECLERC;No_Feat;No_Displ
